county_fips,County,BENES_TOTAL_CNT,PQI03_DBTS_AGE_LT_65,PQI05_COPD_ASTHMA_AGE_40_64,PQI15_ASTHMA_AGE_LT_40
20101,Lane,453,,,
20103,Leavenworth,15967,,,
20105,Lincoln,906,,,
20107,Linn,2656,,,
20109,Logan,705,,,
20111,Lyon,6715,,,
20115,Marion,3266,,,
20117,Marshall,2782,,,
20113,McPherson,7386,,,
20119,Meade,852,,,
20121,Miami,7664,,,
20123,Mitchell,1707,,,
20125,Montgomery,8059,,,
20127,Morris,1560,,,
20129,Morton,593,,,
20131,Nemaha,2460,,,
20133,Neosho,3876,,,
20135,Ness,852,,,
20137,Norton,1242,,,
20139,Osage,4357,,,
20141,Osborne,1060,,,
20143,Ottawa,1497,,,
20145,Pawnee,1592,,,
20147,Phillips,1531,,,
20149,Pottawatomie,4903,,,
20151,Pratt,2285,,,
20153,Rawlins,740,,,
20155,Reno,15448,,,
20157,Republic,1480,,,
20159,Rice,2246,,,
20161,Riley,9266,,,
20163,Rooks,1386,,,
20165,Rush,934,,,
20167,Russell,1987,,,
20169,Saline,12635,,,
20171,Scott,1077,,,
20173,Sedgwick,101737,,,
20175,Seward,2616,,,
20177,Shawnee,42525,,,
20179,Sheridan,652,,,
20181,Sherman,1438,,,
20183,Smith,1224,,,
20185,Stafford,1074,,,
20187,Stanton,379,,,
20189,Stevens,922,,,
20191,Sumner,5537,,,
20193,Thomas,1707,,,
20195,Trego,877,,,
20000,UNKNOWN,*,,,
20197,Wabaunsee,1771,,,
20199,Wallace,376,,,
20201,Washington,1507,,,
20203,Wichita,462,,,
20205,Wilson,2439,,,
20207,Woodson,901,,,
20209,Wyandotte,26407,,,
21001,Adair,4742,,,
21003,Allen,4991,,,
21005,Anderson,5321,,,
21007,Ballard,2223,,,
21009,Barren,11031,,,
21011,Bath,3125,,,
21013,Bell,6811,,,
21015,Boone,24868,,,
21017,Bourbon,4896,,,
21019,Boyd,12463,,,
21021,Boyle,7564,,,
21023,Bracken,2189,,,
21025,Breathitt,3467,,,
21027,Breckinridge,5384,,,
21029,Bullitt,18066,,,
21031,Butler,3120,,,
21033,Caldwell,3521,,,
21035,Calloway,8755,,,
21037,Campbell,19366,,,
21039,Carlisle,1291,,,
21041,Carroll,2483,,,
21043,Carter,7266,,,
21045,Casey,4163,,,
21047,Christian,12331,,,
21049,Clark,8911,,,
21051,Clay,4953,,,
21053,Clinton,2637,,,
21055,Crittenden,2279,,,
21057,Cumberland,1967,,,
21059,Daviess,24108,,,
21061,Edmonson,3068,,,
21063,Elliott,1418,,,
21065,Estill,3817,,,
21067,Fayette,55820,,,
21069,Fleming,3771,,,
21071,Floyd,10450,,,
21073,Franklin,15220,,,
21075,Fulton,1808,,,
21077,Gallatin,1790,,,
21079,Garrard,4386,,,
21081,Grant,5496,,,
21083,Graves,9119,,,
21085,Grayson,6895,,,
21087,Green,3071,,,
21089,Greenup,9953,,,
21091,Hancock,2187,,,
21093,Hardin,23061,,,
21095,Harlan,7438,,,
21097,Harrison,4811,,,
21099,Hart,4627,,,
21101,Henderson,11077,,,
21103,Henry,4035,,,
21105,Hickman,1283,,,
21107,Hopkins,11531,,,
21109,Jackson,3420,,,
21111,Jefferson,163022,,,
21113,Jessamine,11220,,,
21115,Johnson,6260,,,
21117,Kenton,32765,,,
21119,Knott,3933,,,
21121,Knox,7911,,,
21123,Larue,3664,,,
21125,Laurel,14847,,,
21127,Lawrence,4195,,,
21129,Lee,1852,,,
21131,Leslie,2933,,,
21133,Letcher,6190,,,
21135,Lewis,3408,,,
21137,Lincoln,6353,,,
21139,Livingston,2771,,,
21141,Logan,6751,,,
21143,Lyon,2533,,,
21151,Madison,19122,,,
21153,Magoffin,3357,,,
21155,Marion,4615,,,
21157,Marshall,9273,,,
21159,Martin,2797,,,
21161,Mason,4360,,,
21145,McCracken,17599,,,
21147,McCreary,4035,,,
21149,McLean,2515,,,
21163,Meade,6061,,,
21165,Menifee,1856,,,
21167,Mercer,5838,,,
21169,Metcalfe,2787,,,
21171,Monroe,2821,,,
21173,Montgomery,6455,,,
21175,Morgan,3248,,,
21177,Muhlenberg,8030,,,
21179,Nelson,11292,,,
21181,Nicholas,1797,,,
21183,Ohio,5953,,,
21185,Oldham,11797,,,
21187,Owen,2544,,,
21189,Owsley,1192,,,
21191,Pendleton,3516,,,
21193,Perry,7091,,,
21195,Pike,16807,,,
21197,Powell,3351,,,
21199,Pulaski,18394,,,
21201,Robertson,618,,,
21203,Rockcastle,4313,,,
21205,Rowan,5186,,,
21207,Russell,4996,,,
21209,Scott,10084,,,
21211,Shelby,10063,,,
21213,Simpson,4488,,,
21215,Spencer,4185,,,
21217,Taylor,6576,,,
21219,Todd,2687,,,
21221,Trigg,4185,,,
21223,Trimble,2134,,,
21000,UNKNOWN,*,,,
21225,Union,3413,,,
21227,Warren,23887,,,
21229,Washington,3015,,,
21231,Wayne,5465,,,
21233,Webster,3297,,,
21235,Whitley,9329,,,
21237,Wolfe,2014,,,
21239,Woodford,6636,,,
22001,Acadia,13173,,,
22003,Allen,4830,,,
22005,Ascension,21199,,,
22007,Assumption,5343,,,
22009,Avoyelles,9471,,,
22011,Beauregard,7966,,,
22013,Bienville,3582,,,
22015,Bossier,23889,,,
22017,Caddo,54071,,,
22019,Calcasieu,39504,,,
22021,Caldwell,2436,,,
22023,Cameron,1160,,,
22025,Catahoula,2496,,,
22027,Claiborne,3654,,,
22029,Concordia,4455,,,
22031,DeSoto,6654,,,
22033,East Baton Rouge,83977,,,
22035,East Carroll,1405,,,
22037,East Feliciana,4707,,,
22039,Evangeline,7479,,,
22041,Franklin,4813,,,
22043,Grant,4553,,,
22045,Iberia,15984,,,
22047,Iberville,6874,,,
22049,Jackson,3832,,,
22051,Jefferson,95478,,,
22053,Jefferson Davis,7182,,,
22059,LaSalle,3279,,,
22055,Lafayette,46516,,,
22057,Lafourche,20417,,,
22061,Lincoln,8210,,,
22063,Livingston,25149,,,
22065,Madison,2138,,,
22067,Morehouse,6854,,,
22069,Natchitoches,8259,,,
22071,Orleans,69874,,,
22073,Ouachita,31358,,,
22075,Plaquemines,4105,,,
22077,Pointe Coupee,5564,,,
22079,Rapides,29724,,,
22081,Red River,1884,,,
22083,Richland,4871,,,
22085,Sabine,5880,,,
22087,St. Bernard,7543,,,
22089,St. Charles,10308,,,
22091,St. Helena,2859,,,
22093,St. James,4916,,,
22095,St. John the Baptist,8872,,,
22097,St. Landry,19981,,,
22099,St. Martin,11985,,,
22101,St. Mary,11642,,,
22103,St. Tammany,61207,,,
22105,Tangipahoa,27175,,,
22107,Tensas,1238,,,
22109,Terrebonne,22452,,,
22000,UNKNOWN,*,,,
22111,Union,5823,,,
22113,Vermilion,12681,,,
22115,Vernon,8353,,,
22117,Washington,11305,,,
22119,Webster,10057,,,
22121,West Baton Rouge,5293,,,
22123,West Carroll,2795,,,
22125,West Feliciana,2451,,,
22127,Winn,3153,,,
25001,Barnstable,86799,,,
25003,Berkshire,38566,,,
25005,Bristol,134090,,,
25007,Dukes,5673,,,
25009,Essex,178762,,,
25011,Franklin,21177,,,
25013,Hampden,111398,,,
25015,Hampshire,38860,,,
25017,Middlesex,302621,,,
25019,Nantucket,2362,,,
25021,Norfolk,148654,,,
25023,Plymouth,128506,,,
25025,Suffolk,114743,,,
25000,UNKNOWN,*,,,
25027,Worcester,179173,,,
24001,Allegany,17691,,,
24003,Anne Arundel,108231,,,
24005,Baltimore,176493,,,
24510,Baltimore City,105059,,,
24009,Calvert,18648,,,
24011,Caroline,7388,,,
24013,Carroll,37422,,,
24015,Cecil,21849,,,
24017,Charles,28294,,,
24019,Dorchester,9107,,,
24021,Frederick,50797,,,
24023,Garrett,7935,,,
24025,Harford,55359,,,
24027,Howard,56613,,,
24029,Kent,6352,,,
24031,Montgomery,192671,,,
24033,Prince George's,150852,,,
24035,Queen Anne's,12512,,,
24039,Somerset,5631,,,
24037,St. Mary's,19518,,,
24041,Talbot,12366,,,
24000,UNKNOWN,*,,,
24043,Washington,34455,,,
24045,Wicomico,22267,,,
24047,Worcester,17004,,,
23001,Androscoggin,27323,,,
23003,Aroostook,21828,,,
23005,Cumberland,75613,,,
23007,Franklin,9079,,,
23009,Hancock,17526,,,
23011,Kennebec,35266,,,
23013,Knox,13509,,,
23015,Lincoln,12615,,,
23017,Oxford,17885,,,
23019,Penobscot,41110,,,
23021,Piscataquis,6012,,,
23023,Sagadahoc,11061,,,
23025,Somerset,15561,,,
23000,UNKNOWN,*,,,
23027,Waldo,12668,,,
23029,Washington,10477,,,
23031,York,59579,,,
26001,Alcona,4677,,,
26003,Alger,2933,,,
26005,Allegan,27063,,,
26007,Alpena,9668,,,
26009,Antrim,8438,,,
26011,Arenac,5346,,,
26013,Baraga,2347,,,
26015,Barry,15236,,,
26017,Bay,29138,,,
26019,Benzie,6221,,,
26021,Berrien,39739,,,
26023,Branch,10632,,,
26025,Calhoun,32566,,,
26027,Cass,13839,,,
26029,Charlevoix,8570,,,
26031,Cheboygan,8953,,,
26033,Chippewa,8975,,,
26035,Clare,10411,,,
26037,Clinton,17509,,,
26039,Crawford,4506,,,
26041,Delta,11710,,,
26043,Dickinson,7678,,,
26045,Eaton,26664,,,
26047,Emmet,10430,,,
26049,Genesee,97804,,,
26051,Gladwin,8913,,,
26053,Gogebic,4762,,,
26055,Grand Traverse,25599,,,
26057,Gratiot,9424,,,
26059,Hillsdale,11872,,,
26061,Houghton,8188,,,
26063,Huron,10335,,,
26065,Ingham,53194,,,
26067,Ionia,13229,,,
26069,Iosco,9753,,,
26071,Iron,4295,,,
26073,Isabella,12515,,,
26075,Jackson,38515,,,
26077,Kalamazoo,54615,,,
26079,Kalkaska,5282,,,
26081,Kent,122709,,,
26083,Keweenaw,859,,,
26085,Lake,4401,,,
26087,Lapeer,22254,,,
26089,Leelanau,8382,,,
26091,Lenawee,25207,,,
26093,Livingston,45131,,,
26095,Luce,1775,,,
26097,Mackinac,3971,,,
26099,Macomb,197295,,,
26101,Manistee,8537,,,
26103,Marquette,16909,,,
26105,Mason,9349,,,
26107,Mecosta,10715,,,
26109,Menominee,7128,,,
26111,Midland,20701,,,
26113,Missaukee,4304,,,
26115,Monroe,37987,,,
26117,Montcalm,16071,,,
26119,Montmorency,4264,,,
26121,Muskegon,43167,,,
26123,Newaygo,13477,,,
26125,Oakland,274261,,,
26127,Oceana,7647,,,
26129,Ogemaw,7480,,,
26131,Ontonagon,2555,,,
26133,Osceola,6709,,,
26135,Oscoda,3263,,,
26137,Otsego,7296,,,
26139,Ottawa,60319,,,
26141,Presque Isle,5386,,,
26143,Roscommon,10361,,,
26145,Saginaw,48927,,,
26151,Sanilac,11697,,,
26153,Schoolcraft,2958,,,
26155,Shiawassee,17691,,,
26147,St. Clair,41747,,,
26149,St. Joseph,14268,,,
26157,Tuscola,14843,,,
26000,UNKNOWN,*,,,
26159,Van Buren,19354,,,
26161,Washtenaw,68205,,,
26163,Wayne,355133,,,
26165,Wexford,9249,,,
27001,Aitkin,6271,,,
27003,Anoka,67205,,,
27005,Becker,9509,,,
27007,Beltrami,10246,,,
27009,Benton,8323,,,
27011,Big Stone,1579,,,
27013,Blue Earth,13183,,,
27015,Brown,6903,,,
27017,Carlton,8817,,,
27019,Carver,18403,,,
27021,Cass,9974,,,
27023,Chippewa,3066,,,
27025,Chisago,12407,,,
27027,Clay,11458,,,
27029,Clearwater,2239,,,
27031,Cook,1923,,,
27033,Cottonwood,3136,,,
27035,Crow Wing,20013,,,
27037,Dakota,82612,,,
27039,Dodge,4032,,,
27041,Douglas,11828,,,
27043,Faribault,4002,,,
27045,Fillmore,5528,,,
27047,Freeborn,8401,,,
27049,Goodhue,12104,,,
27051,Grant,1699,,,
27053,Hennepin,223960,,,
27055,Houston,5172,,,
27057,Hubbard,6722,,,
27059,Isanti,9025,,,
27061,Itasca,13897,,,
27063,Jackson,2574,,,
27065,Kanabec,4343,,,
27067,Kandiyohi,10773,,,
27069,Kittson,1238,,,
27071,Koochiching,3968,,,
27073,Lac qui Parle,1979,,,
27075,Lake,3445,,,
27077,Lake of the Woods,1265,,,
27079,Le Sueur,6401,,,
27081,Lincoln,1613,,,
27083,Lyon,5425,,,
27087,Mahnomen,1252,,,
27089,Marshall,2337,,,
27091,Martin,5810,,,
27085,McLeod,8685,,,
27093,Meeker,5819,,,
27095,Mille Lacs,6841,,,
27097,Morrison,8944,,,
27099,Mower,9074,,,
27101,Murray,2490,,,
27103,Nicollet,6920,,,
27105,Nobles,4229,,,
27107,Norman,1748,,,
27109,Olmsted,31514,,,
27111,Otter Tail,18078,,,
27113,Pennington,3158,,,
27115,Pine,8155,,,
27117,Pipestone,2360,,,
27119,Polk,7230,,,
27121,Pope,3369,,,
27123,Ramsey,100198,,,
27125,Red Lake,1004,,,
27127,Redwood,3841,,,
27129,Renville,3820,,,
27131,Rice,13189,,,
27133,Rock,2359,,,
27135,Roseau,3638,,,
27139,Scott,22883,,,
27141,Sherburne,16948,,,
27143,Sibley,3428,,,
27137,St. Louis,51975,,,
27145,Stearns,31865,,,
27147,Steele,8645,,,
27149,Stevens,1981,,,
27151,Swift,2509,,,
27153,Todd,6281,,,
27155,Traverse,1042,,,
27000,UNKNOWN,*,,,
27157,Wabasha,6236,,,
27159,Wadena,4041,,,
27161,Waseca,4436,,,
27163,Washington,54669,,,
27165,Watonwan,2569,,,
27167,Wilkin,1583,,,
27169,Winona,11258,,,
27171,Wright,24545,,,
27173,Yellow Medicine,2539,,,
29001,Adair,5130,,,
29003,Andrew,4100,,,
29005,Atchison,1520,,,
29007,Audrain,6039,,,
29009,Barry,9412,,,
29011,Barton,3012,,,
29013,Bates,4081,,,
29015,Benton,7664,,,
29017,Bollinger,2930,,,
29019,Boone,31625,,,
29021,Buchanan,19148,,,
29023,Butler,11663,,,
29025,Caldwell,2273,,,
29027,Callaway,10168,,,
29029,Camden,14549,,,
29031,Cape Girardeau,17898,,,
29033,Carroll,2486,,,
29035,Carter,1550,,,
29037,Cass,24027,,,
29039,Cedar,4296,,,
29041,Chariton,2137,,,
29043,Christian,19446,,,
29045,Clark,1630,,,
29047,Clay,47603,,,
29049,Clinton,5181,,,
29051,Cole,17039,,,
29053,Cooper,4175,,,
29055,Crawford,6327,,,
29057,Dade,2320,,,
29059,Dallas,4815,,,
29061,Daviess,2031,,,
29063,DeKalb,2350,,,
29065,Dent,4349,,,
29067,Douglas,2496,,,
29069,Dunklin,7235,,,
29071,Franklin,26493,,,
29073,Gasconade,4371,,,
29075,Gentry,1608,,,
29077,Greene,64861,,,
29079,Grundy,2581,,,
29081,Harrison,2328,,,
29083,Henry,6598,,,
29085,Hickory,2966,,,
29087,Holt,1262,,,
29089,Howard,2413,,,
29091,Howell,11429,,,
29093,Iron,3048,,,
29095,Jackson,136817,,,
29097,Jasper,26150,,,
29099,Jefferson,50068,,,
29101,Johnson,9399,,,
29103,Knox,995,,,
29105,Laclede,8997,,,
29107,Lafayette,8047,,,
29109,Lawrence,8917,,,
29111,Lewis,2442,,,
29113,Lincoln,12284,,,
29115,Linn,3311,,,
29117,Livingston,3691,,,
29121,Macon,4203,,,
29123,Madison,3431,,,
29125,Maries,2074,,,
29127,Marion,7129,,,
29119,McDonald,4858,,,
29129,Mercer,858,,,
29131,Miller,6101,,,
29133,Mississippi,3019,,,
29135,Moniteau,3225,,,
29137,Monroe,2352,,,
29139,Montgomery,3174,,,
29141,Morgan,6261,,,
29143,New Madrid,4192,,,
29145,Newton,13799,,,
29147,Nodaway,4428,,,
29149,Oregon,2699,,,
29151,Osage,2997,,,
29153,Ozark,3162,,,
29155,Pemiscot,3737,,,
29157,Perry,4771,,,
29159,Pettis,9438,,,
29161,Phelps,9883,,,
29163,Pike,4246,,,
29165,Platte,20046,,,
29167,Polk,7841,,,
29169,Pulaski,7453,,,
29171,Putnam,1328,,,
29173,Ralls,2824,,,
29175,Randolph,5738,,,
29177,Ray,5419,,,
29179,Reynolds,1641,,,
29181,Ripley,3598,,,
29195,Saline,5190,,,
29197,Schuyler,1048,,,
29199,Scotland,991,,,
29201,Scott,9625,,,
29203,Shannon,2092,,,
29205,Shelby,1693,,,
29183,St. Charles,83586,,,
29185,St. Clair,2879,,,
29187,St. Francois,16459,,,
29189,St. Louis,226240,,,
29510,St. Louis City,51088,,,
29186,Ste. Genevieve,4791,,,
29207,Stoddard,7928,,,
29209,Stone,11452,,,
29211,Sullivan,1497,,,
29213,Taney,16597,,,
29215,Texas,6867,,,
29000,UNKNOWN,*,,,
29217,Vernon,4957,,,
29219,Warren,8761,,,
29221,Washington,5897,,,
29223,Wayne,3326,,,
29225,Webster,8520,,,
29227,Worth,570,,,
29229,Wright,5347,,,
28001,Adams,7831,,,
28003,Alcorn,9187,,,
28005,Amite,3456,,,
28007,Attala,4483,,,
28009,Benton,2109,,,
28011,Bolivar,7449,,,
28013,Calhoun,3768,,,
28015,Carroll,2798,,,
28017,Chickasaw,4398,,,
28019,Choctaw,2300,,,
28021,Claiborne,1989,,,
28023,Clarke,4395,,,
28025,Clay,4989,,,
28027,Coahoma,5235,,,
28029,Copiah,6780,,,
28031,Covington,4588,,,
28033,DeSoto,32673,,,
28035,Forrest,15156,,,
28037,Franklin,2074,,,
28039,George,5506,,,
28041,Greene,2588,,,
28043,Grenada,5813,,,
28045,Hancock,12090,,,
28047,Harrison,45689,,,
28049,Hinds,46149,,,
28051,Holmes,4222,,,
28053,Humphreys,2046,,,
28055,Issaquena,252,,,
28057,Itawamba,5739,,,
28059,Jackson,31535,,,
28061,Jasper,4318,,,
28063,Jefferson,1876,,,
28065,Jefferson Davis,3157,,,
28067,Jones,15534,,,
28069,Kemper,2298,,,
28071,Lafayette,9714,,,
28073,Lamar,10782,,,
28075,Lauderdale,16326,,,
28077,Lawrence,3243,,,
28079,Leake,4788,,,
28081,Lee,18893,,,
28083,Leflore,6183,,,
28085,Lincoln,8021,,,
28087,Lowndes,12940,,,
28089,Madison,22158,,,
28091,Marion,6129,,,
28093,Marshall,8813,,,
28095,Monroe,9196,,,
28097,Montgomery,2850,,,
28099,Neshoba,6309,,,
28101,Newton,4911,,,
28103,Noxubee,2689,,,
28105,Oktibbeha,7830,,,
28107,Panola,8215,,,
28109,Pearl River,14168,,,
28111,Perry,3009,,,
28113,Pike,9469,,,
28115,Pontotoc,6975,,,
28117,Prentiss,5947,,,
28119,Quitman,1656,,,
28121,Rankin,30958,,,
28123,Scott,5862,,,
28125,Sharkey,1100,,,
28127,Simpson,6539,,,
28129,Smith,3604,,,
28131,Stone,4408,,,
28133,Sunflower,5367,,,
28135,Tallahatchie,2962,,,
28137,Tate,6401,,,
28139,Tippah,5488,,,
28141,Tishomingo,5362,,,
28143,Tunica,1961,,,
28000,UNKNOWN,*,,,
28145,Union,6548,,,
28147,Walthall,3616,,,
28149,Warren,10653,,,
28151,Washington,10997,,,
28153,Wayne,4671,,,
28155,Webster,2777,,,
28157,Wilkinson,2094,,,
28159,Winston,4733,,,
28161,Yalobusha,3860,,,
28163,Yazoo,5268,,,
30001,Beaverhead,2721,,,
30003,Big Horn,2041,,,
30005,Blaine,1247,,,
30007,Broadwater,1954,,,
30009,Carbon,3449,,,
30011,Carter,374,,,
30013,Cascade,19845,,,
30015,Chouteau,1486,,,
30017,Custer,2915,,,
30019,Daniels,500,,,
30021,Dawson,2192,,,
30023,Deer Lodge,3125,,,
30025,Fallon,639,,,
30027,Fergus,3462,,,
30029,Flathead,28140,,,
30031,Gallatin,19263,,,
30033,Garfield,308,,,
30035,Glacier,2268,,,
30037,Golden Valley,304,,,
30039,Granite,1020,,,
30041,Hill,3330,,,
30043,Jefferson,3670,,,
30045,Judith Basin,667,,,
30047,Lake,9092,,,
30049,Lewis and Clark,17993,,,
30051,Liberty,520,,,
30053,Lincoln,8376,,,
30057,Madison,2865,,,
30055,McCone,508,,,
30059,Meagher,651,,,
30061,Mineral,1695,,,
30063,Missoula,25928,,,
30065,Musselshell,1705,,,
30067,Park,4750,,,
30069,Petroleum,129,,,
30071,Phillips,1084,,,
30073,Pondera,1553,,,
30075,Powder River,450,,,
30077,Powell,1806,,,
30079,Prairie,448,,,
30081,Ravalli,15336,,,
30083,Richland,2276,,,
30085,Roosevelt,1837,,,
30087,Rosebud,1951,,,
30089,Sanders,4977,,,
30091,Sheridan,1041,,,
30093,Silver Bow,8875,,,
30095,Stillwater,2834,,,
30097,Sweet Grass,1106,,,
30099,Teton,1718,,,
30101,Toole,1071,,,
30103,Treasure,248,,,
30000,UNKNOWN,*,,,
30105,Valley,1944,,,
30107,Wheatland,630,,,
30109,Wibaux,253,,,
30111,Yellowstone,36772,,,
37001,Alamance,37713,,,
37003,Alexander,9086,,,
37005,Alleghany,3800,,,
37007,Anson,5878,,,
37009,Ashe,8732,,,
37011,Avery,5181,,,
37013,Beaufort,14632,,,
37015,Bertie,5698,,,
37017,Bladen,8533,,,
37019,Brunswick,61859,,,
37021,Buncombe,68196,,,
37023,Burke,23327,,,
37025,Cabarrus,38779,,,
37027,Caldwell,21409,,,
37029,Camden,2291,,,
37031,Carteret,21928,,,
37033,Caswell,6286,,,
37035,Catawba,38423,,,
37037,Chatham,22099,,,
37039,Cherokee,10955,,,
37041,Chowan,4452,,,
37043,Clay,4620,,,
37045,Cleveland,25293,,,
37047,Columbus,14021,,,
37049,Craven,27648,,,
37051,Cumberland,60401,,,
37053,Currituck,6755,,,
37055,Dare,10987,,,
37057,Davidson,41058,,,
37059,Davie,11828,,,
37061,Duplin,11759,,,
37063,Durham,55079,,,
37065,Edgecombe,13541,,,
37067,Forsyth,82685,,,
37069,Franklin,15836,,,
37071,Gaston,49495,,,
37073,Gates,2843,,,
37075,Graham,2413,,,
37077,Granville,13287,,,
37079,Greene,4251,,,
37081,Guilford,108103,,,
37083,Halifax,14227,,,
37085,Harnett,23757,,,
37087,Haywood,19780,,,
37089,Henderson,37276,,,
37091,Hertford,5819,,,
37093,Hoke,8581,,,
37095,Hyde,1374,,,
37097,Iredell,40051,,,
37099,Jackson,9685,,,
37101,Johnston,39968,,,
37103,Jones,2978,,,
37105,Lee,14234,,,
37107,Lenoir,15363,,,
37109,Lincoln,22448,,,
37113,Macon,12989,,,
37115,Madison,6461,,,
37117,Martin,6879,,,
37111,McDowell,12828,,,
37119,Mecklenburg,161617,,,
37121,Mitchell,4788,,,
37123,Montgomery,6842,,,
37125,Moore,29545,,,
37127,Nash,24105,,,
37129,New Hanover,53911,,,
37131,Northampton,5886,,,
37133,Onslow,31539,,,
37135,Orange,27828,,,
37137,Pamlico,4575,,,
37139,Pasquotank,9652,,,
37141,Pender,15232,,,
37143,Perquimans,4436,,,
37145,Person,10655,,,
37147,Pitt,34673,,,
37149,Polk,7281,,,
37151,Randolph,33868,,,
37153,Richmond,10971,,,
37155,Robeson,26707,,,
37157,Rockingham,25616,,,
37159,Rowan,34338,,,
37161,Rutherford,17930,,,
37163,Sampson,14039,,,
37165,Scotland,8594,,,
37167,Stanly,15756,,,
37169,Stokes,12681,,,
37171,Surry,19595,,,
37173,Swain,4104,,,
37175,Transylvania,11226,,,
37177,Tyrrell,948,,,
37000,UNKNOWN,*,,,
37179,Union,40288,,,
37181,Vance,11154,,,
37183,Wake,176625,,,
37185,Warren,5747,,,
37187,Washington,3666,,,
37189,Watauga,10439,,,
37191,Wayne,26624,,,
37193,Wilkes,18994,,,
37195,Wilson,19193,,,
37197,Yadkin,9749,,,
37199,Yancey,5975,,,
38001,Adams,737,,,
38003,Barnes,2914,,,
38005,Benson,1189,,,
38007,Billings,204,,,
38009,Bottineau,1821,,,
38011,Bowman,862,,,
38013,Burke,543,,,
38015,Burleigh,20316,,,
38017,Cass,30036,,,
38019,Cavalier,1099,,,
38021,Dickey,1245,,,
38023,Divide,548,,,
38025,Dunn,830,,,
38027,Eddy,672,,,
38029,Emmons,1005,,,
38031,Foster,846,,,
38033,Golden Valley,466,,,
38035,Grand Forks,12214,,,
38037,Grant,712,,,
38039,Griggs,733,,,
38041,Hettinger,655,,,
38043,Kidder,680,,,
38045,LaMoure,1194,,,
38047,Logan,547,,,
38049,McHenry,1430,,,
38051,McIntosh,883,,,
38053,McKenzie,1332,,,
38055,McLean,2787,,,
38057,Mercer,2157,,,
38059,Morton,6973,,,
38061,Mountrail,1589,,,
38063,Nelson,1054,,,
38065,Oliver,448,,,
38067,Pembina,1949,,,
38069,Pierce,1148,,,
38071,Ramsey,2852,,,
38073,Ransom,1411,,,
38075,Renville,593,,,
38077,Richland,3808,,,
38079,Rolette,2403,,,
38081,Sargent,1021,,,
38083,Sheridan,431,,,
38085,Sioux,457,,,
38087,Slope,185,,,
38089,Stark,5583,,,
38091,Steele,498,,,
38093,Stutsman,5229,,,
38095,Towner,628,,,
38097,Traill,1883,,,
38000,UNKNOWN,*,,,
38099,Walsh,2794,,,
38101,Ward,11503,,,
38103,Wells,1262,,,
38105,Williams,4616,,,
31001,Adams,7361,,,
31003,Antelope,1687,,,
31005,Arthur,105,,,
31007,Banner,115,,,
31009,Blaine,133,,,
31011,Boone,1509,,,
31013,Box Butte,2753,,,
31015,Boyd,659,,,
31017,Brown,855,,,
31019,Buffalo,9654,,,
31021,Burt,2012,,,
31023,Butler,2032,,,
31025,Cass,6075,,,
31027,Cedar,2183,,,
31029,Chase,957,,,
31031,Cherry,1450,,,
31033,Cheyenne,2503,,,
31035,Clay,1613,,,
31037,Colfax,1774,,,
31039,Cuming,2219,,,
31041,Custer,2831,,,
31043,Dakota,3570,,,
31045,Dawes,1873,,,
31047,Dawson,4639,,,
31049,Deuel,581,,,
31051,Dixon,1436,,,
31053,Dodge,8743,,,
31055,Douglas,100089,,,
31057,Dundy,514,,,
31059,Fillmore,1579,,,
31061,Franklin,846,,,
31063,Frontier,613,,,
31065,Furnas,1457,,,
31067,Gage,5875,,,
31069,Garden,626,,,
31071,Garfield,510,,,
31073,Gosper,558,,,
31075,Grant,165,,,
31077,Greeley,645,,,
31079,Hall,11710,,,
31081,Hamilton,2270,,,
31083,Harlan,941,,,
31085,Hayes,222,,,
31087,Hitchcock,815,,,
31089,Holt,2782,,,
31091,Hooker,252,,,
31093,Howard,1662,,,
31095,Jefferson,2109,,,
31097,Johnson,1103,,,
31099,Kearney,1565,,,
31101,Keith,2390,,,
31103,Keya Paha,224,,,
31105,Kimball,1093,,,
31107,Knox,2434,,,
31109,Lancaster,58842,,,
31111,Lincoln,8568,,,
31113,Logan,179,,,
31115,Loup,193,,,
31119,Madison,7697,,,
31117,McPherson,112,,,
31121,Merrick,1944,,,
31123,Morrill,1245,,,
31125,Nance,922,,,
31127,Nemaha,1641,,,
31129,Nuckolls,1422,,,
31131,Otoe,3917,,,
31133,Pawnee,794,,,
31135,Perkins,723,,,
31137,Phelps,2268,,,
31139,Pierce,1666,,,
31141,Platte,7187,,,
31143,Polk,1395,,,
31145,Red Willow,2682,,,
31147,Richardson,2308,,,
31149,Rock,412,,,
31151,Saline,2822,,,
31153,Sarpy,31254,,,
31155,Saunders,5007,,,
31157,Scotts Bluff,8923,,,
31159,Seward,3799,,,
31161,Sheridan,1475,,,
31163,Sherman,890,,,
31165,Sioux,302,,,
31167,Stanton,1194,,,
31169,Thayer,1505,,,
31171,Thomas,227,,,
31173,Thurston,1115,,,
31000,UNKNOWN,*,,,
31175,Valley,1197,,,
31177,Washington,4818,,,
31179,Wayne,1650,,,
31181,Webster,948,,,
31183,Wheeler,218,,,
31185,York,3435,,,
33001,Belknap,20829,,,
33003,Carroll,18657,,,
33005,Cheshire,21515,,,
33007,Coos,11071,,,
33009,Grafton,25012,,,
33011,Hillsborough,91869,,,
33013,Merrimack,39807,,,
33015,Rockingham,79620,,,
33017,Strafford,29651,,,
33019,Sullivan,12628,,,
33000,UNKNOWN,*,,,
